死亡者数
5
6
6
6
6
6
6
6
7
9
12
15
19
21
22
24
28
29
31
33
35
36
41
42
43
45
46
49
52
54
56
57
60
63
69
70
73
80
81
85
88
94
98
102
109
119
136
148
154
161
171
186
277
287
317
334
348
351
376
389
415
432
458
492
510
521
543
551
600
613
621
643
668
687
710
725
744
749
763
771
777
796
808
820
830
846
858
867
874
886
891
892
894
900
903
907
914
916
916
916
919
920
922
924
925
925
927
931
935
935
952
953
953
955
963
967
968
970
970
971
971
973
974
975
976
976
976
977
979
980
981
981
981
981
981
983
984
984
984
984
984
987
988
989
991
992
995
995
997
1000
1003
1005
1010
1010
1011
1015
1021
1025
1032
1038
1039
1046
1051
1058
1062
1072
1084
1087
1098
1114
1127
1143
1154
1168
1175
1180
1195
1208
1225
1237
1254
1263
1278
1295
1306
1318
1329
1348
1356
1362
1376
1392
1405
1411
1422
1438
1441
1450
1460
1472
1481
1494
1499
1499
1507
1511
1519
1531
1539
1544
1547
1556
1563
1570
1577
1589
1596
1598
1601
1604
1612
1615
1623
1626
1628
1633
1637
1645
1649
1660
1669
1673
1675
1678
