国立感染症研究所,検疫所,地方衛生研究所・保健所,民間検査会社,大学等,医療機関
0,1611,2724,13687,2191,3624
0,2128,2458,15411,2297,3799
0,2462,2553,13673,2479,3944
0,2365,2578,13341,1816,2788
0,1976,2014,12333,732,1430
0,1931,1491,3333,661,1807
0,1383,1468,10388,2002,4627
0,1575,2642,12994,2085,4150
0,1657,2643,15090,2356,4163
29,1690,2403,14139,2245,4043
0,2174,2627,13423,1653,3251
0,1943,2331,13233,488,1226
0,1746,1181,3304,666,1522
0,1392,1324,12298,2021,4703
0,1865,2643,13389,2301,3967
21,1749,2186,15077,2176,4286
8,1945,2175,13579,2126,4101
21,2728,1548,13978,1578,3178
0,2367,1600,12917,628,1422
